
this is long file 

"ExpNo" "TreatNo" "Date" "Variable" "simValue" "obsValue" "Error"
"271" 1 2 "17/03/2011" "AboveDM" 22434.977 19374 1237
"272" 1 2 "17/03/2011" "GrainDM" 10688.564 10458 851
"273" 1 2 "17/03/2011" "LeafDM" 1882.34 1802 249
"274" 1 2 "17/03/2011" "StemDM" 7856.622 4298 558
"275" 1 2 "17/12/2010" "LightInt" 0.58 0.43 0.04
"276" 1 2 "18/01/2011" "stage_code" 7 6.8 0.19
"277" 1 2 "18/01/2011" "stage_code" 7 6 0
"278" 1 2 "18/02/2011" "AboveDM" 17808.771 14067 2353
"279" 1 2 "18/02/2011" "GrainDM" 5236.46 4121 593
"280" 1 2 "18/02/2011" "LeafDM" 1899.87 1833 395
"281" 1 2 "18/02/2011" "StemDM" 8682.518 4881 937
"282" 1 2 "19/01/2011" "LightInt" 0.871 0.82 0.02
"283" 1 2 "19/01/2011" "stage_code" 7 6.9 0.09
"284" 1 2 "19/01/2011" "stage_code" 7 6 0
"285" 1 2 "19/11/2010" "LeafLigules" 2.594 2 0
"286" 1 2 "20/01/2011" "AboveDM" 10733.784 7473 384
"287" 1 2 "20/01/2011" "LeafDM" 1970.303 1945 112
"288" 1 2 "20/01/2011" "stage_code" 7 6.9 0.08
"289" 1 2 "20/01/2011" "stage_code" 7 6 0
"290" 1 2 "20/01/2011" "StemDM" 7026.958 4783 320
"291" 1 2 "20/12/2010" "LeafLigules" 10.12 6 0
"292" 1 2 "23/11/2010" "LeafLigules" 3.171 2.56 0.5
"293" 1 2 "23/12/2010" "LeafLigules" 11.312 6.56 0.5
"294" 1 2 "23/12/2010" "LightInt" 0.764 0.55 0.07
"295" 1 2 "24/01/2011" "stage_code" 7 6 0
"296" 1 2 "24/01/2011" "stage_code" 7 7 0
"297" 1 2 "24/02/2011" "LightInt" 0.867 0.81 0.04
"298" 1 2 "24/11/2010" "LightInt" 0.04 0 0
"299" 1 2 "25/11/2010" "LeafLigules" 3.376 2.97 0.17
"300" 1 2 "26/01/2011" "AboveDM" 12134.191 8484 703
"301" 1 2 "26/01/2011" "LeafDM" 1958.261 2008 160
"302" 1 2 "26/01/2011" "LightInt" 0.87 0.9 0.02
"303" 1 2 "26/01/2011" "StemDM" 8013.178 5008 282
"304" 1 2 "27/01/2011" "LightInt" 0.869 0.85 0.03
"305" 1 2 "27/12/2010" "LeafLigules" 12.291 7.36 0.49
"306" 1 2 "28/02/2011" "AboveDM" 19506.488 16532 1071
"307" 1 2 "28/02/2011" "GrainDM" 7377.206 7303 633
"308" 1 2 "28/02/2011" "LeafDM" 1889.51 1835 189
"309" 1 2 "28/02/2011" "StemDM" 8239.49 4409 412
"310" 1 2 "28/03/2011" "AboveDM" 23631.684 20434 1416
"311" 1 2 "28/03/2011" "GrainDM" 12353.561 11923 732
"312" 1 2 "28/03/2011" "LeafDM" 1822.769 1551 71
"313" 1 2 "28/03/2011" "LightInt" 0.864 0.73 0.08
