"exp" "treat" "var" "n" "RMSD" "RMSD_mean" "R2"
"320" 6 1 "LAI" 1 0.7 19.5 NA
"321" 6 1 "LeafDM" 1 363.5 17 NA
"322" 6 1 "LeafLigules" 8 3 41.1 66.3
"323" 6 1 "StemDM" 1 867.5 15.4 NA
"324" 6 1 "stage_code" 11 0.6 12.3 89.7
"325" 6 1 "GrainDM" 1 147.6 1.2 NA
"326" 6 2 "LightInt" 5 0.2 27 83.3
"327" 6 2 "AboveDM" 3 2070 18.1 96.7
"328" 6 2 "LAI" 1 0.6 11.5 NA
"329" 6 2 "LeafDM" 1 722.8 27.9 NA
"330" 6 2 "LeafLigules" 8 2.2 27.2 76.4
"331" 6 2 "StemDM" 1 95.6 1.4 NA
"332" 6 2 "stage_code" 11 0.4 8.5 92.1
"333" 6 2 "GrainDM" 1 3.9 0 NA
"334" 6 3 "LightInt" 5 0.2 27.9 85.7
"335" 6 3 "AboveDM" 3 2424.6 22.2 95
"336" 6 3 "LAI" 1 0.4 9.3 NA
"337" 6 3 "LeafDM" 1 565.3 23.4 NA
"338" 6 3 "LeafLigules" 8 2.5 33.1 74.1
"339" 6 3 "StemDM" 1 273.1 4.2 NA
"340" 6 3 "stage_code" 11 0.4 8.2 95.2
"341" 6 3 "GrainDM" 1 667.6 6 NA
