ExpNo	TreatNo	Date	obsValue	Error	Variable
2	4	14/01/2009	0.81	0.04	LightInt
2	4	08/02/2009	0.96	0.02	LightInt
2	5	30/12/2008	0.64	0.07	LightInt
2	7	30/12/2008	0.28	0.06	LightInt
2	7	07/01/2009	0.58	0.04	LightInt
2	7	14/01/2009	0.74	0.08	LightInt
2	7	08/02/2009	0.96	0	LightInt
2	6	30/12/2008	0.65	0.02	LightInt
2	8	30/12/2008	0.49	0.09	LightInt
2	8	07/01/2009	0.75	0.02	LightInt
2	8	14/01/2009	0.8	0.02	LightInt
2	8	08/02/2009	0.94	0.01	LightInt
2	1	24/04/2009	26540	3281	AboveDM
2	3	07/01/2009	855	190	AboveDM
2	3	27/01/2009	5453	803	AboveDM
2	3	13/02/2009	11895	866	AboveDM
2	3	05/03/2009	14397	507	AboveDM
2	3	23/03/2009	16576	2054	AboveDM
2	3	21/04/2009	20687	4375	AboveDM
2	3	24/04/2009	20948	1017	AboveDM
2	2	23/03/2009	26973	2502	AboveDM
2	4	07/01/2009	1962	252	AboveDM
2	4	27/01/2009	7340	1741	AboveDM
2	4	13/02/2009	11486	1024	AboveDM
2	4	05/03/2009	17842	805	AboveDM
2	4	23/03/2009	18578	1492	AboveDM
2	4	21/04/2009	24685	4986	AboveDM
2	4	24/04/2009	23914	459	AboveDM
2	5	23/03/2009	22087	3137	AboveDM
2	7	07/01/2009	1275	255	AboveDM
2	7	27/01/2009	6032	321	AboveDM
2	7	13/02/2009	11440	1006	AboveDM
2	7	05/03/2009	16164	2041	AboveDM
2	7	23/03/2009	20973	572	AboveDM
2	7	21/04/2009	22294	1716	AboveDM
2	7	24/04/2009	21804	2355	AboveDM
2	6	06/03/2009	21686	2853	AboveDM
2	8	07/01/2009	2677	458	AboveDM
2	8	27/01/2009	7924	1535	AboveDM
2	8	13/02/2009	10780	1214	AboveDM
2	8	05/03/2009	17264	582	AboveDM
2	8	23/03/2009	22304	3860	AboveDM
2	8	03/04/2009	24206	3103	AboveDM
2	3	05/03/2009	13887	346	StemLeafDM
2	3	23/03/2009	15645	596	StemLeafDM
2	3	21/04/2009	15265	3487	StemLeafDM
2	4	05/03/2009	14784	836	StemLeafDM
2	4	23/03/2009	13702	592	StemLeafDM
2	4	21/04/2009	12283	2369	StemLeafDM
2	7	05/03/2009	13204	1125	StemLeafDM
2	7	23/03/2009	13300	959	StemLeafDM
2	7	21/04/2009	9593	1143	StemLeafDM
2	8	05/03/2009	11752	1019	StemLeafDM
2	8	23/03/2009	10579	1741	StemLeafDM
2	1	24/04/2009	8234	1206	StemDM
